City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Tabas,33.5959,56.9244,54.1,16,0,3.78,IR,2022-03-29 01:56:00
281,Tombouctou,20.0,-3.0,82.8,10,13,11.1,ML,2022-03-29 01:56:00
282,Jieshi,22.8134,115.8257,65.95,75,91,9.17,CN,2022-03-29 01:56:01
283,Dalbandin,28.8947,64.4101,68.67,13,0,7.87,PK,2022-03-29 01:56:01
284,Kaitangata,-46.2817,169.8464,62.42,75,95,5.55,NZ,2022-03-29 01:56:02
285,Pisco,-13.7,-76.2167,68.05,77,0,16.11,PE,2022-03-29 01:54:50
286,Villa Bruzual,9.3328,-69.1208,85.62,49,100,2.82,VE,2022-03-29 01:56:02
287,Sur,22.5667,59.5289,76.84,65,0,8.21,OM,2022-03-29 01:56:03
288,Kargasok,59.0556,80.8572,16.5,96,65,6.06,RU,2022-03-29 01:56:03
289,Honningsvag,70.9821,25.9704,29.95,80,75,23.02,NO,2022-03-29 01:56:04
290,Kisanga,-7.4362,37.7034,72.54,96,97,2.35,TZ,2022-03-29 01:56:04
291,Tangara,-6.1994,-35.8017,73.56,96,100,3.2,BR,2022-03-29 01:56:05
292,Black Forest,39.0131,-104.7008,62.49,16,0,9.22,US,2022-03-29 01:56:05
293,Sangar,63.9242,127.4739,18.03,90,100,5.48,RU,2022-03-29 01:56:05
294,Aginskoye,51.1,114.53,24.3,30,0,13.76,RU,2022-03-29 01:56:06
295,Naliya,23.2667,68.8333,76.51,81,6,7.85,IN,2022-03-29 01:56:06
296,Arya,33.6,73.0667,68.23,55,1,1.99,PK,2022-03-29 01:56:07
297,Miles City,46.4083,-105.8406,62.92,40,96,10.45,US,2022-03-29 01:56:07
298,Davila,18.4726,120.5763,89.58,64,6,18.52,PH,2022-03-29 01:56:07
299,Clyde River,70.4692,-68.5914,-0.17,78,75,13.8,CA,2022-03-29 01:53:57
300,Gornyak,50.9942,81.4661,27.48,87,98,11.68,RU,2022-03-29 01:56:08
301,Hasaki,35.7333,140.8333,52.29,57,100,11.18,JP,2022-03-29 01:56:08
302,Palmer,42.1584,-72.3287,22.62,44,75,18.41,US,2022-03-29 01:54:09
303,Camacha,33.0833,-16.3333,56.62,94,40,6.91,PT,2022-03-29 01:56:09
304,Chadiza,-14.0678,32.4392,64.27,97,100,5.66,ZM,2022-03-29 01:56:10
305,La Paz,-16.5,-68.15,46.38,93,40,6.91,BO,2022-03-29 01:52:00
306,Kungurtug,50.5994,97.5228,20.16,87,99,1.1,RU,2022-03-29 01:56:11
307,Villamontes,-21.25,-63.5,74.01,68,5,5.32,BO,2022-03-29 01:56:11
308,Wollongong,-34.4333,150.8833,70.09,93,100,14.72,AU,2022-03-29 01:53:13
309,Kommunar,59.6206,30.39,25.52,89,100,8.7,RU,2022-03-29 01:56:12
310,Sao Felix Do Xingu,-6.6447,-51.995,72.7,99,100,1.41,BR,2022-03-29 01:56:12
311,Huarmey,-10.0681,-78.1522,71.22,84,98,9.53,PE,2022-03-29 01:56:12
312,Katobu,-4.9408,122.5276,80.49,83,100,1.83,ID,2022-03-29 01:56:13
313,Oranjestad,12.524,-70.027,80.55,78,20,17.27,AW,2022-03-29 01:56:13
314,Losevo,50.6767,40.045,37.47,73,96,21.7,RU,2022-03-29 01:56:13
315,Tangshan,39.6333,118.1833,49.98,57,100,10.09,CN,2022-03-29 01:56:14
316,Lienz,46.8289,12.769,44.19,81,89,3.78,AT,2022-03-29 01:56:14
317,College,64.8569,-147.8028,39.18,52,100,8.05,US,2022-03-29 01:56:15
318,San Matias,-16.3667,-58.4,76.73,79,93,3.69,BO,2022-03-29 01:57:15
319,Keti Bandar,24.1447,67.4497,78.93,75,4,14.9,PK,2022-03-29 01:57:16
320,Norman Wells,65.282,-126.8329,12.24,52,40,0.0,CA,2022-03-29 01:57:16
321,Matara,5.9485,80.5353,80.31,79,42,3.58,LK,2022-03-29 01:57:17
322,Kisesa,-3.0833,34.15,64.56,85,82,5.41,TZ,2022-03-29 01:57:17
323,Karlstad,59.3793,13.5036,30.76,64,20,5.75,SE,2022-03-29 01:57:17
324,Chernyshevskiy,63.0128,112.4714,11.35,90,89,4.68,RU,2022-03-29 01:57:18
325,Pacific Grove,36.6177,-121.9166,58.55,83,78,8.01,US,2022-03-29 01:57:18
326,Saint-Jean-De-Braye,47.913,1.9771,55.51,58,0,4.61,FR,2022-03-29 01:57:19
327,Ordu,40.9086,37.6845,30.99,79,1,7.7,TR,2022-03-29 01:57:19
328,Nhulunbuy,-12.2333,136.7667,90.21,51,20,3.44,AU,2022-03-29 01:57:19
329,Korla,41.7597,86.1469,50.59,30,90,5.68,CN,2022-03-29 01:57:20
330,Ojhar,20.1,73.9333,78.13,31,72,5.73,IN,2022-03-29 01:57:20
331,Faya,18.3851,42.4509,55.51,33,0,4.88,SA,2022-03-29 01:57:21
332,Clearwater,27.9659,-82.8001,70.93,79,0,7.0,US,2022-03-29 01:57:21
333,Cayenne,4.9333,-52.3333,80.1,1,100,5.99,GF,2022-03-29 01:57:21
334,Beloha,-25.1667,45.05,70.39,78,60,14.07,MG,2022-03-29 01:57:22
335,Zhoucheng,35.9122,116.3117,59.36,61,32,17.05,CN,2022-03-29 01:57:22
336,Jumla,29.2747,82.1838,58.21,35,0,1.59,NP,2022-03-29 01:57:23
337,Montbrison,45.6667,4.0833,45.57,44,100,5.06,FR,2022-03-29 01:57:23
338,Puerto Quijarro,-17.7833,-57.7667,77.86,69,91,1.48,BO,2022-03-29 01:57:23
339,Sumkino,58.1108,68.3244,32.79,88,100,8.86,RU,2022-03-29 01:57:24
340,Flinders,-34.5833,150.8552,69.19,94,100,3.0,AU,2022-03-29 01:57:24
341,San Patricio,28.017,-97.5169,73.54,78,100,16.17,US,2022-03-29 01:57:25
342,Lorengau,-2.0226,147.2712,82.29,78,98,11.14,PG,2022-03-29 01:57:25
343,Saint Stephen,50.3333,-4.9,50.27,81,100,9.22,GB,2022-03-29 01:57:26
344,Ambilobe,-13.2,49.05,72.12,96,7,2.89,MG,2022-03-29 01:57:26
345,Namatanai,-3.6667,152.4333,84.97,68,82,8.59,PG,2022-03-29 01:57:26
346,Dunedin,-45.8742,170.5036,61.09,79,89,3.85,NZ,2022-03-29 01:57:27
347,Grenada,37.1882,-3.6067,53.49,84,40,3.44,ES,2022-03-29 01:53:34
348,Monterey,36.2505,-121.2516,53.17,1,100,8.55,US,2022-03-29 01:57:27
349,Chandia,23.65,80.7,81.0,15,7,4.7,IN,2022-03-29 01:57:28
350,Whitehorse,60.7161,-135.0538,38.01,55,75,17.27,CA,2022-03-29 01:57:28
351,Horadiz,39.4488,47.3353,37.58,84,62,3.62,AZ,2022-03-29 01:57:29
352,Bhadrachalam,17.6667,80.8833,82.36,68,45,4.03,IN,2022-03-29 01:57:29
353,Ola,59.5833,151.2833,25.14,56,100,12.82,RU,2022-03-29 01:57:29
354,Ranfurly,-45.1333,170.1,65.89,63,96,5.82,NZ,2022-03-29 01:57:30
355,Truro,50.2653,-5.0544,51.08,81,100,9.22,GB,2022-03-29 01:52:31
356,Sarab,38.6066,44.9883,33.62,53,0,4.59,IR,2022-03-29 01:57:30
357,Smithers,54.7804,-127.1743,50.32,32,40,4.61,CA,2022-03-29 01:57:31
358,Egvekinot,66.3167,-179.1667,2.75,81,69,7.54,RU,2022-03-29 01:57:31
359,Bandarbeyla,9.4942,50.8122,77.02,80,33,6.96,SO,2022-03-29 01:57:32
360,Windhoek,-22.5594,17.0832,67.1,72,100,3.44,NA,2022-03-29 01:57:32
361,Hofn,64.2539,-15.2082,29.41,70,100,11.01,IS,2022-03-29 01:57:33
362,Yulara,-25.2406,130.9889,85.84,15,55,10.36,AU,2022-03-29 01:57:33
363,Yerbogachen,61.2767,108.0108,16.23,91,99,7.31,RU,2022-03-29 01:57:33
364,Bontang,0.1333,117.5,83.39,68,38,3.96,ID,2022-03-29 01:58:34
365,Emba,48.8264,58.1442,19.02,93,99,17.05,KZ,2022-03-29 01:58:34
366,Berbera,10.4396,45.0143,77.31,72,60,5.84,SO,2022-03-29 01:58:35
