,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mataura,NZ,-46.1927,168.8643,54.52,79,95,1.72,overcast clouds
79,Busselton,AU,-33.65,115.3333,60.85,82,30,14.2,scattered clouds
80,Quatre Cocos,MU,-20.2078,57.7625,78.91,79,41,10.85,scattered clouds
81,Alyangula,AU,-13.8483,136.4192,82.35,65,32,6.17,scattered clouds
82,Mnogovershinnyy,RU,53.9353,139.9242,32.23,90,98,5.79,overcast clouds
83,Gat,IL,31.61,34.7642,73.4,48,75,4.94,broken clouds
84,Dayong,CN,25.0209,118.2898,50.05,77,0,3.24,clear sky
85,Faya,SA,18.3851,42.4509,59.52,32,93,2.21,overcast clouds
86,Jamestown,US,42.097,-79.2353,35.02,67,99,8.99,overcast clouds
87,Warmbad,NA,-28.45,18.7333,61.41,53,0,12.41,clear sky
88,Rudnaya Pristan,RU,44.3614,135.8116,40.66,62,0,4.05,clear sky
89,Ramotswa,BW,-24.8716,25.8699,63.1,94,100,1.5,moderate rain
90,Pacific Grove,US,36.6177,-121.9166,70.39,72,20,10.36,few clouds
91,Bengkulu,ID,-3.8004,102.2655,75.96,84,96,4.81,overcast clouds
92,Acari,PE,-15.4311,-74.6158,75.72,68,15,7.23,few clouds
93,San Patricio,US,28.017,-97.5169,86.18,50,0,14.63,clear sky
94,Kattivakkam,IN,13.2167,80.3167,84.29,88,81,9.55,broken clouds
95,Hasaki,JP,35.7333,140.8333,48.6,74,99,17.87,light rain
96,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,66,40,25.32,scattered clouds
97,Bonthe,SL,7.5264,-12.505,77.9,82,28,6.17,scattered clouds
98,Dunedin,NZ,-45.8742,170.5036,59.81,66,96,4.0,overcast clouds
99,Berlevag,NO,70.8578,29.0864,26.6,59,40,12.66,scattered clouds
100,Samarai,PG,-10.6167,150.6667,81.3,77,81,9.93,broken clouds
101,Stawell,AU,-37.05,142.7667,55.58,84,52,4.23,broken clouds
102,Kruisfontein,ZA,-34.0033,24.7314,58.89,81,94,5.44,overcast clouds
103,Cape Town,ZA,-33.9258,18.4232,62.28,84,25,4.0,scattered clouds
104,Basco,PH,20.4487,121.9702,74.95,76,100,32.46,overcast clouds
105,Coquimbo,CL,-29.9533,-71.3436,60.53,88,20,11.5,few clouds
106,East London,ZA,-33.0153,27.9116,71.11,88,69,12.5,broken clouds
107,Mildura,AU,-34.2,142.15,57.07,79,0,3.71,clear sky
108,Sambava,MG,-14.2667,50.1667,75.42,92,100,5.44,overcast clouds
109,Lavrentiya,RU,65.5833,-171.0,-5.04,84,15,11.83,few clouds
110,Shimoda,JP,34.6667,138.95,49.1,91,100,18.12,moderate rain
111,Castro,BR,-24.7911,-50.0119,65.14,92,80,4.88,broken clouds
112,Muros,ES,42.7762,-9.0603,47.08,60,0,21.61,clear sky
113,Zhengjiatun,CN,43.5064,123.5064,45.66,57,3,23.78,clear sky
114,Mayo,US,38.8876,-76.5119,53.55,48,0,31.0,clear sky
115,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,40,4.61,scattered clouds
116,Lorengau,PG,-2.0226,147.2712,81.14,76,100,1.43,overcast clouds
117,Kutum,SD,14.2,24.6667,75.79,12,80,6.82,broken clouds
118,Ponta Delgada,PT,37.7333,-25.6667,57.92,72,20,5.75,few clouds
119,Port Lincoln,AU,-34.7333,135.8667,59.77,81,2,2.95,clear sky
120,Dali,CN,25.7,100.1833,52.86,80,99,3.6,overcast clouds
121,Talnakh,RU,69.4865,88.3972,-0.17,97,84,6.93,broken clouds
122,Kirakira,SB,-10.4544,161.9205,81.82,83,95,10.29,overcast clouds
123,Ler,SS,8.3018,30.1418,86.04,44,72,4.03,broken clouds
124,Lagoa,PT,39.05,-27.9833,59.02,81,16,18.7,few clouds
125,Hella,NO,67.2,14.4333,32.14,73,75,12.66,light snow
126,Nizwa,OM,22.9333,57.5333,74.75,29,0,3.65,clear sky
127,Beringovskiy,RU,63.05,179.3167,-1.05,79,31,16.71,scattered clouds
128,Cauquenes,CL,-35.9671,-72.3225,64.45,24,0,15.37,clear sky
129,Flinders,AU,-34.5833,150.8552,68.05,74,6,10.0,clear sky
130,Hobart,AU,-42.8794,147.3294,57.06,93,75,8.05,broken clouds
131,Siocon,PH,7.7061,122.1353,77.56,86,96,4.21,overcast clouds
132,Santa Fe,AR,-31.6333,-60.7,75.0,63,28,3.0,light rain
133,Leh,IN,34.1667,77.5833,23.94,65,58,5.41,broken clouds
